x432,y1
1,11
1,12
1,13
1,14
1,15
1,21
1,22
1,23
1,24
1,25
1,31
1,32
1,33
1,34
1,35
5,41
5,42
5,43
5,44
5,45
0,51
0,52
0,53
0,54
0,55
1,61
1,62
1,63
1,64
1,65
1,71
1,72
1,73
1,74
1,75
1,81
1,82
1,83
1,84
1,85
1,91
1,92
1,93
1,94
1,95
5,101
5,102
5,103
5,104
5,105
1,111
1,112
1,113
1,114
1,115
1,121
1,122
1,123
1,124
1,125
1,131
1,132
1,133
1,134
1,135
1,141
1,142
1,143
1,144
1,145
0,151
0,152
0,153
0,154
0,155
5,161
5,162
5,163
5,164
5,165
1,171
1,172
1,173
1,174
1,175
5,181
5,182
5,183
5,184
5,185
5,191
5,192
5,193
5,194
5,195
1,201
1,202
1,203
1,204
1,205
3,211
3,212
3,213
3,214
3,215
3,221
3,222
3,223
3,224
3,225
1,231
1,232
1,233
1,234
1,235
5,241
5,242
5,243
5,244
5,245
1,251
1,252
1,253
1,254
1,255
1,261
1,262
1,263
1,264
1,265
5,271
5,272
5,273
5,274
5,275
3,281
3,282
3,283
3,284
3,285
1,291
1,292
1,293
1,294
1,295
1,301
1,302
1,303
1,304
1,305
0,311
0,312
0,313
0,314
0,315
0,321
0,322
0,323
0,324
0,325
5,331
5,332
5,333
5,334
5,335
1,341
1,342
1,343
1,344
1,345
1,351
1,352
1,353
1,354
1,355
1,361
1,362
1,363
1,364
1,365
0,371
0,372
0,373
0,374
0,375
1,381
1,382
1,383
1,384
1,385
0,391
0,392
0,393
0,394
0,395
3,401
3,402
3,403
3,404
3,405
3,411
3,412
3,413
3,414
3,415
5,421
5,422
5,423
5,424
5,425
5,431
5,432
5,433
5,434
5,435
1,441
1,442
1,443
1,444
1,445
1,451
1,452
1,453
1,454
1,455
5,461
5,462
5,463
5,464
5,465
1,471
1,472
1,473
1,474
1,475
0,481
0,482
0,483
0,484
0,485
1,491
1,492
1,493
1,494
1,495
1,501
1,502
1,503
1,504
1,505
0,511
0,512
0,513
0,514
0,515
5,521
5,522
5,523
5,524
5,525
3,531
3,532
3,533
3,534
3,535
0,541
0,542
0,543
0,544
0,545
1,551
1,552
1,553
1,554
1,555
1,561
1,562
1,563
1,564
1,565
1,571
1,572
1,573
1,574
1,575
1,581
1,582
1,583
1,584
1,585
3,591
3,592
3,593
3,594
3,595
1,601
1,602
1,603
1,604
1,605
0,611
0,612
0,613
0,614
0,615
5,621
5,622
5,623
5,624
5,625
1,631
1,632
1,633
1,634
1,635
3,641
3,642
3,643
3,644
3,645
1,651
1,652
1,653
1,654
1,655
1,661
1,662
1,663
1,664
1,665
1,671
1,672
1,673
1,674
1,675
1,681
1,682
1,683
1,684
1,685
0,691
0,692
0,693
0,694
0,695
5,701
5,702
5,703
5,704
5,705
0,711
0,712
0,713
0,714
0,715
5,721
5,722
5,723
5,724
5,725
1,731
1,732
1,733
1,734
1,735
3,741
3,742
3,743
3,744
3,745
1,751
1,752
1,753
1,754
1,755
5,761
5,762
5,763
5,764
5,765
1,771
1,772
1,773
1,774
1,775
3,781
3,782
3,783
3,784
3,785
0,791
0,792
0,793
0,794
0,795
1,801
1,802
1,803
1,804
1,805
5,811
5,812
5,813
5,814
5,815
1,821
1,822
1,823
1,824
1,825
0,831
0,832
0,833
0,834
0,835
5,841
5,842
5,843
5,844
5,845
1,851
1,852
1,853
1,854
1,855
1,861
1,862
1,863
1,864
1,865
1,871
1,872
1,873
1,874
1,875
1,881
1,882
1,883
1,884
1,885
1,891
1,892
1,893
1,894
1,895
1,901
1,902
1,903
1,904
1,905
1,911
1,912
1,913
1,914
1,915
3,921
3,922
3,923
3,924
3,925
1,931
1,932
1,933
1,934
1,935
0,941
0,942
0,943
0,944
0,945
0,951
0,952
0,953
0,954
0,955
0,961
0,962
3,963
3,964
0,965
0,971
0,972
0,973
0,974
0,975
1,981
1,982
1,983
1,984
1,985
1,991
1,992
1,993
1,994
1,995
0,1001
0,1002
0,1003
0,1004
0,1005
3,1011
3,1012
3,1013
3,1014
3,1015
5,1021
5,1022
5,1023
5,1024
5,1025
5,1031
5,1032
5,1033
5,1034
5,1035
1,1041
1,1042
1,1043
1,1044
1,1045
1,1051
1,1052
1,1053
1,1054
1,1055
1,1061
1,1062
1,1063
1,1064
1,1065
3,1071
3,1072
3,1073
3,1074
3,1075
5,1081
5,1082
5,1083
5,1084
5,1085
1,1091
1,1092
1,1093
1,1094
1,1095
3,1101
3,1102
3,1103
3,1104
3,1105
1,1111
1,1112
1,1113
1,1114
1,1115
1,1121
1,1122
1,1123
1,1124
1,1125
3,1131
3,1132
3,1133
3,1134
3,1135
0,1141
0,1142
0,1143
0,1144
0,1145
1,1151
1,1152
1,1153
1,1154
1,1155
0,1161
0,1162
0,1163
0,1164
0,1165
5,1171
5,1172
5,1173
5,1174
5,1175
5,1181
5,1182
5,1183
5,1184
5,1185
1,1191
1,1192
1,1193
1,1194
1,1195
3,1201
3,1202
3,1203
3,1204
3,1205
5,1211
5,1212
5,1213
5,1214
5,1215
3,1221
3,1222
3,1223
3,1224
3,1225
1,1231
1,1232
1,1233
1,1234
1,1235
1,1241
1,1242
1,1243
1,1244
1,1245
0,1251
0,1252
0,1253
0,1254
0,1255
5,1261
5,1262
5,1263
5,1264
5,1265
1,1271
1,1272
1,1273
1,1274
1,1275
1,1281
1,1282
1,1283
1,1284
1,1285
0,1291
0,1292
0,1293
0,1294
0,1295
1,1301
1,1302
1,1303
1,1304
1,1305
1,1311
1,1312
1,1313
1,1314
1,1315
0,1321
0,1322
0,1323
0,1324
0,1325
1,1331
1,1332
1,1333
1,1334
1,1335
1,1341
1,1342
1,1343
1,1344
1,1345
1,1351
1,1352
1,1353
1,1354
1,1355
0,1361
0,1362
0,1363
0,1364
0,1365
1,1371
1,1372
1,1373
1,1374
1,1375
5,1381
5,1382
5,1383
5,1384
5,1385
3,1391
3,1392
3,1393
3,1394
3,1395
1,1401
1,1402
1,1403
1,1404
1,1405
0,1411
0,1412
0,1413
0,1414
0,1415
1,1421
1,1422
1,1423
1,1424
1,1425
0,1431
0,1432
0,1433
0,1434
0,1435
3,1441
3,1442
3,1443
3,1444
3,1445
1,1451
1,1452
1,1453
1,1454
1,1455
3,1461
3,1462
3,1463
3,1464
3,1465
1,1471
1,1472
1,1473
1,1474
1,1475
1,1481
1,1482
1,1483
1,1484
1,1485
0,1491
0,1492
0,1493
0,1494
0,1495
1,1501
1,1502
1,1503
1,1504
1,1505
1,1511
1,1512
1,1513
1,1514
1,1515
3,1521
3,1522
3,1523
3,1524
3,1525
1,1531
1,1532
1,1533
1,1534
1,1535
0,1541
0,1542
0,1543
0,1544
0,1545
1,1551
1,1552
1,1553
1,1554
1,1555
3,1561
3,1562
3,1563
3,1564
3,1565
1,1571
1,1572
1,1573
1,1574
1,1575
0,1581
0,1582
0,1583
0,1584
0,1585
5,1591
5,1592
5,1593
5,1594
5,1595
0,1601
0,1602
0,1603
0,1604
0,1605
1,1611
1,1612
1,1613
1,1614
1,1615
1,1621
1,1622
1,1623
1,1624
1,1625
1,1631
1,1632
1,1633
1,1634
1,1635
0,1641
0,1642
0,1643
0,1644
0,1645
1,1651
1,1652
1,1653
1,1654
1,1655
1,1661
1,1662
1,1663
1,1664
1,1665
1,1671
1,1672
1,1673
1,1674
1,1675
3,1681
3,1682
3,1683
3,1684
3,1685
0,1691
0,1692
0,1693
0,1694
0,1695
0,1701
0,1702
0,1703
0,1704
0,1705
1,1711
1,1712
1,1713
1,1714
1,1715
1,1721
1,1722
1,1723
1,1724
1,1725
1,1731
1,1732
1,1733
1,1734
1,1735
1,1741
1,1742
1,1743
1,1744
1,1745
0,1751
0,1752
0,1753
0,1754
0,1755
3,1761
3,1762
3,1763
3,1764
3,1765
5,1771
5,1772
5,1773
5,1774
5,1775
1,1781
1,1782
1,1783
1,1784
1,1785
0,1791
0,1792
0,1793
0,1794
0,1795
1,1801
1,1802
1,1803
1,1804
1,1805
1,1811
1,1812
1,1813
1,1814
1,1815
1,1821
1,1822
1,1823
1,1824
1,1825
1,1831
1,1832
1,1833
1,1834
1,1835
1,1841
1,1842
1,1843
1,1844
1,1845
5,1851
5,1852
5,1853
5,1854
5,1855
5,1861
5,1862
5,1863
5,1864
5,1865
0,1871
0,1872
0,1873
0,1874
0,1875
0,1881
0,1882
0,1883
0,1884
0,1885
0,1891
0,1892
0,1893
0,1894
0,1895
1,1901
1,1902
1,1903
1,1904
1,1905
0,1911
0,1912
0,1913
0,1914
0,1915
1,1921
1,1922
1,1923
1,1924
1,1925
5,1931
5,1932
5,1933
5,1934
5,1935
1,1941
1,1942
1,1943
1,1944
1,1945
5,1951
5,1952
5,1953
5,1954
5,1955
1,1961
1,1962
1,1963
1,1964
1,1965
1,1971
1,1972
1,1973
1,1974
1,1975
1,1981
1,1982
1,1983
1,1984
1,1985
5,1991
5,1992
5,1993
5,1994
5,1995
5,2001
5,2002
5,2003
5,2004
5,2005
1,2011
1,2012
1,2013
1,2014
1,2015
3,2021
3,2022
3,2023
3,2024
3,2025
0,2031
0,2032
0,2033
0,2034
0,2035
1,2041
1,2042
1,2043
1,2044
1,2045
1,2051
1,2052
1,2053
1,2054
1,2055
1,2061
1,2062
1,2063
1,2064
1,2065
0,2071
0,2072
0,2073
0,2074
0,2075
5,2081
5,2082
5,2083
5,2084
5,2085
5,2091
5,2092
5,2093
5,2094
5,2095
1,2101
1,2102
1,2103
1,2104
1,2105
1,2111
1,2112
1,2113
1,2114
1,2115
1,2121
1,2122
1,2123
1,2124
1,2125
0,2131
0,2132
0,2133
0,2134
0,2135
0,2141
0,2142
0,2143
0,2144
0,2145
0,2151
0,2152
0,2153
0,2154
0,2155
1,2161
1,2162
1,2163
1,2164
1,2165
0,2171
0,2172
0,2173
0,2174
0,2175
5,2181
5,2182
5,2183
5,2184
5,2185
0,2191
0,2192
0,2193
0,2194
0,2195
1,2201
1,2202
1,2203
1,2204
1,2205
1,2211
1,2212
1,2213
1,2214
1,2215
1,2221
1,2222
1,2223
1,2224
1,2225
3,2231
3,2232
3,2233
3,2234
3,2235
0,2241
0,2242
0,2243
0,2244
0,2245
1,2251
1,2252
1,2253
1,2254
1,2255
0,2261
0,2262
0,2263
0,2264
0,2265
1,2271
1,2272
1,2273
1,2274
1,2275
3,2281
3,2282
3,2283
3,2284
3,2285
1,2291
1,2292
1,2293
1,2294
1,2295
5,2301
5,2302
5,2303
5,2304
5,2305
5,2311
5,2312
5,2313
5,2314
5,2315
1,2321
1,2322
1,2323
1,2324
1,2325
1,2331
1,2332
1,2333
1,2334
1,2335
0,2341
0,2342
0,2343
0,2344
0,2345
1,2351
1,2352
1,2353
1,2354
1,2355
1,2361
1,2362
1,2363
1,2364
1,2365
1,2371
1,2372
1,2373
1,2374
1,2375
1,2381
1,2382
1,2383
1,2384
1,2385
1,2401
1,2402
1,2403
1,2404
1,2405
1,2411
1,2412
1,2413
1,2414
1,2415
1,2421
1,2422
1,2423
1,2424
1,2425
5,2431
5,2432
5,2433
5,2434
5,2435
0,2441
0,2442
0,2443
0,2444
0,2445
1,2451
1,2452
1,2453
1,2454
1,2455
0,2461
0,2462
0,2463
0,2464
0,2465
0,2471
0,2472
0,2473
0,2474
0,2475
1,2481
1,2482
1,2483
1,2484
1,2485
5,2491
5,2492
5,2493
5,2494
5,2495
1,2501
1,2502
1,2503
1,2504
1,2505
1,2511
1,2512
1,2513
1,2514
1,2515
1,2521
1,2522
1,2523
1,2524
1,2525
0,2531
0,2532
0,2533
0,2534
0,2535
1,2541
1,2542
1,2543
1,2544
1,2545
0,2551
0,2552
0,2553
0,2554
0,2555
1,2561
1,2562
1,2563
1,2564
1,2565
0,2571
0,2572
0,2573
0,2574
0,2575
1,2581
1,2582
1,2583
1,2584
1,2585
0,2591
0,2592
0,2593
0,2594
0,2595
5,2601
5,2602
5,2603
5,2604
5,2605
3,2611
3,2612
3,2613
3,2614
3,2615
1,2621
1,2622
1,2623
1,2624
1,2625
5,2631
5,2632
5,2633
5,2634
5,2635
0,2641
0,2642
0,2643
0,2644
0,2645
1,2651
1,2652
1,2653
1,2654
1,2655
1,2661
1,2662
1,2663
1,2664
1,2665
1,2671
1,2672
1,2673
1,2674
1,2675
0,2681
0,2682
0,2683
0,2684
0,2685
1,2691
1,2692
1,2693
1,2694
1,2695
5,2701
5,2702
5,2703
5,2704
5,2705
5,2711
5,2712
5,2713
5,2714
5,2715
1,2721
1,2722
1,2723
1,2724
1,2725
0,2731
0,2732
0,2733
0,2734
0,2735
3,2741
3,2742
3,2743
3,2744
3,2745
1,2751
1,2752
1,2753
1,2754
1,2755
3,2761
3,2762
3,2763
3,2764
3,2765
1,2771
1,2772
1,2773
1,2774
1,2775
0,2781
0,2782
0,2783
0,2784
0,2785
0,2791
0,2792
0,2793
0,2794
0,2795
0,2801
0,2802
0,2803
0,2804
0,2805
1,2811
1,2812
1,2813
1,2814
1,2815
0,2821
0,2822
0,2823
0,2824
0,2825
1,2831
1,2832
1,2833
1,2834
1,2835
3,2841
3,2842
3,2843
3,2844
3,2845
1,2851
1,2852
1,2853
1,2854
1,2855
1,2861
1,2862
1,2863
1,2864
1,2865
1,2871
1,2872
1,2873
1,2874
1,2875
5,2881
5,2882
5,2883
5,2884
5,2885
1,2891
1,2892
1,2893
1,2894
1,2895
0,2901
0,2902
0,2903
0,2904
0,2905
1,2911
1,2912
1,2913
1,2914
1,2915
1,2921
1,2922
1,2923
1,2924
1,2925
3,2931
3,2932
3,2933
3,2934
3,2935
3,2941
3,2942
3,2943
3,2944
3,2945
0,2951
0,2952
0,2953
0,2954
0,2955
0,2961
0,2962
0,2963
0,2964
0,2965
1,2971
1,2972
1,2973
1,2974
1,2975
0,2981
0,2982
0,2983
0,2984
0,2985
0,2991
0,2992
0,2993
0,2994
0,2995
0,3001
0,3002
0,3003
0,3004
0,3005
0,3011
0,3012
0,3013
0,3014
0,3015
1,3021
1,3022
1,3023
1,3024
1,3025
5,3031
5,3032
5,3033
5,3034
5,3035
1,3041
1,3042
1,3043
1,3044
1,3045
1,3051
1,3052
1,3053
1,3054
1,3055
1,3061
1,3062
1,3063
1,3064
1,3065
1,3071
1,3072
1,3073
1,3074
1,3075
1,3081
1,3082
1,3083
1,3084
1,3085
1,3091
1,3092
1,3093
1,3094
1,3095
5,3101
5,3102
5,3103
5,3104
5,3105
1,3111
1,3112
1,3113
1,3114
1,3115
1,3121
1,3122
1,3123
1,3124
1,3125
5,3131
5,3132
5,3133
5,3134
5,3135
1,3141
1,3142
1,3143
1,3144
1,3145
0,3151
0,3152
0,3153
0,3154
0,3155
0,3161
0,3162
0,3163
0,3164
0,3165
1,3171
1,3172
1,3173
1,3174
1,3175
0,3181
0,3182
0,3183
0,3184
0,3185
1,3191
1,3192
1,3193
1,3194
1,3195
3,3201
3,3202
3,3203
3,3204
3,3205
1,3211
1,3212
1,3213
1,3214
1,3215
1,3221
1,3222
1,3223
1,3224
1,3225
3,3231
3,3232
3,3233
3,3234
3,3235
1,3241
1,3242
1,3243
1,3244
1,3245
3,3251
3,3252
3,3253
3,3254
3,3255
1,3261
1,3262
1,3263
1,3264
1,3265
5,3271
5,3272
5,3273
5,3274
5,3275
1,3281
1,3282
1,3283
1,3284
1,3285
1,3291
1,3292
1,3293
1,3294
1,3295
5,3301
5,3302
5,3303
5,3304
5,3305
1,3311
1,3312
1,3313
1,3314
1,3315
1,3321
1,3322
1,3323
1,3324
1,3325
0,3331
0,3332
0,3333
0,3334
0,3335
5,3341
5,3342
5,3343
5,3344
5,3345
5,3351
5,3352
5,3353
5,3354
5,3355
3,3361
3,3362
3,3363
3,3364
3,3365
1,3371
1,3372
1,3373
1,3374
1,3375
1,3381
1,3382
1,3383
1,3384
1,3385
3,3391
3,3392
3,3393
3,3394
3,3395
0,3401
0,3402
0,3403
0,3404
0,3405
1,3411
1,3412
1,3413
1,3414
1,3415
1,3421
1,3422
1,3423
1,3424
1,3425
1,3431
1,3432
1,3433
1,3434
1,3435
1,3441
1,3442
1,3443
1,3444
1,3445
