yy1,y1,wgt,age,educ,edcl,norminc,liq,cds,nmmf,stocks,bond,ccbal,veh_inst,install
1,11,411.3802887864772,45,13,4,835385.7374017996,50160.27249910362,0,1355683.040516314,1084546.432413051,0,0,0,0
1,12,400.6597729023218,45,13,4,835385.7374017996,50160.27249910362,0,1355683.040516314,1084546.432413051,0,0,0,0
1,13,427.7479629497479,45,13,4,835385.7374017996,50160.27249910362,0,1355683.040516314,1084546.432413051,0,0,0,0
1,14,406.0802211570837,45,13,4,835385.7374017996,50160.27249910362,0,1355683.040516314,1084546.432413051,0,0,0,0
1,15,415.8449117191972,45,13,4,835385.7374017996,50160.27249910362,0,1355683.040516314,1084546.432413051,0,0,0,0
2,21,470.9755151818134,52,13,4,835385.7374017996,40806.05951954106,0,0,0,0,0,0,0
2,22,471.2853085351539,52,13,4,835385.7374017996,40806.05951954106,0,0,0,0,0,0,0
2,23,482.3163559666754,52,13,4,835385.7374017996,40806.05951954106,0,0,0,0,0,0,0
2,24,467.8992912949279,52,13,4,835385.7374017996,40806.05951954106,0,0,0,0,0,0,0
2,25,471.4987687706995,52,13,4,835385.7374017996,40806.05951954106,0,0,0,0,0,0,0
3,31,29.35650823389555,56,12,4,6961547.811681665,239901.6708497669,0,677841.520258157,16268196.48619577,0,0,0,0
3,32,30.29644577155334,56,12,4,6961547.811681665,240064.3528146289,0,677841.520258157,16268196.48619577,0,0,0,0
3,33,29.72202791285528,56,12,4,6961547.811681665,239955.8981713876,0,677841.520258157,16268196.48619577,0,0,0,0
3,34,28.98419262984593,56,12,4,6961547.811681665,239928.7845105773,0,677841.520258157,16268196.48619577,0,0,0,0
3,35,29.1175918322915,56,12,4,6961547.811681665,239928.7845105773,0,677841.520258157,16268196.48619577,0,0,0,0
4,41,898.7062991497202,60,11,3,128092.4797349426,8811.939763356042,0,0,17623.87952671208,0,27113.66081032628,0,0
4,42,862.8024270166218,60,11,3,128092.4797349426,8811.939763356042,0,0,17623.87952671208,0,27113.66081032628,0,0
4,43,912.8100791045277,60,11,3,129484.789297279,8744.155611330227,0,0,17623.87952671208,0,27113.66081032628,0,0
4,44,843.8586561096192,60,11,3,129484.789297279,8811.939763356042,0,0,17623.87952671208,0,27113.66081032628,0,0
4,45,909.4911583246861,60,11,3,130877.0988596153,8825.496593761205,0,0,17623.87952671208,0,27113.66081032628,0,0
5,51,4675.901098651688,39,8,2,55692.38249345332,1.355683040516314,0,0,0,0,0,0,0
5,52,4458.887166957295,39,8,2,55692.38249345332,1.355683040516314,0,0,0,0,0,0,0
5,53,4673.054325249725,39,8,2,55692.38249345332,1.355683040516314,0,0,0,0,0,0,0
5,54,4647.828977576074,39,8,2,55692.38249345332,1.355683040516314,0,0,0,0,0,0,0
5,55,4590.422922858173,39,8,2,55692.38249345332,1.355683040516314,0,0,0,0,0,0,0
6,61,237.4128309071603,76,6,2,495662.2041917345,33892.07601290786,0,135568.3040516314,0,0,0,0,0
6,62,242.8353857105531,76,6,2,495662.2041917345,33892.07601290786,0,135568.3040516314,0,0,0,0,0
6,63,236.0649872843409,76,6,2,495662.2041917345,33892.07601290786,0,135568.3040516314,0,0,0,0,0
6,64,117.0029944264103,76,6,2,495662.2041917345,33892.07601290786,0,135568.3040516314,0,0,0,0,0
6,65,247.7199820447874,76,6,2,495662.2041917345,33892.07601290786,0,135568.3040516314,0,0,0,0,0
7,71,665.4162647811534,63,8,2,139551.1874329706,8134.098243097885,0,0,0,0,0,0,0
7,72,668.0069529882035,63,8,2,139551.1874329706,8134.098243097885,0,0,0,0,0,0,0
7,73,673.3934223811809,63,8,2,139551.1874329706,8134.098243097885,0,0,0,0,0,0,0
7,74,619.8188668321961,63,8,2,139551.1874329706,8134.098243097885,0,0,0,0,0,0,0
7,75,669.3254080238974,63,8,2,139551.1874329706,8134.098243097885,0,0,0,0,0,0,0
8,81,5307.557524719257,35,2,1,36200.04862074465,1355.683040516314,0,0,0,0,542.2732162065256,0,0
8,82,5275.014325005164,35,2,1,36200.04862074465,1355.683040516314,0,0,0,0,542.2732162065256,0,0
8,83,5303.82279259934,35,2,1,36200.04862074465,1355.683040516314,0,0,0,0,542.2732162065256,0,0
8,84,5294.649856412013,35,2,1,36200.04862074465,1355.683040516314,0,0,0,0,542.2732162065256,0,0
8,85,5309.869769244748,35,2,1,36200.04862074465,1355.683040516314,0,0,0,0,542.2732162065256,0,0
9,91,22.73789405624878,57,14,4,3578235.575204376,318585.5145213338,0,0,2060638.221584797,0,0,0,0
9,92,23.29170488023452,57,14,4,3592158.670827739,318585.5145213338,0,0,2074195.05198996,0,0,0,0
9,93,24.0480260696677,57,14,4,3592158.670827739,318585.5145213338,0,0,2060638.221584797,0,0,0,0
9,94,22.2465250608988,57,14,4,3578235.575204376,318585.5145213338,0,0,2060638.221584797,0,0,0,0
9,95,23.47551273161569,57,14,4,3578235.575204376,318585.5145213338,0,0,2074195.05198996,0,0,0,0
10,101,7522.571689361781,54,9,3,86323.19286485265,8703.485120114736,0,0,0,0,9218.644675510935,0,0
10,102,6990.061941633826,54,9,3,87715.50242718899,9083.076371459305,0,0,0,0,9218.644675510935,0,0
10,103,7559.46014965599,54,9,3,86323.19286485265,8337.450699175331,0,0,0,0,9218.644675510935,0,0
10,104,7517.457771470962,54,9,3,87715.50242718899,8337.450699175331,0,0,0,0,9218.644675510935,0,0
10,105,7286.089940894452,54,9,3,86323.19286485265,8540.803155252779,0,0,0,0,9218.644675510935,0,0
11,111,1348.475715589257,74,12,4,548569.9675605152,14912.51344567945,0,0,29825026.89135891,0,0,0,0
11,112,1454.777023133627,74,12,4,687800.9237941484,39314.80817497311,0,0,29825026.89135891,0,0,0,0
11,113,1350.438692812286,74,12,4,797793.3792187187,183017.2104697024,0,0,29825026.89135891,0,0,0,0
11,114,1460.091037120362,74,12,4,561100.7536215421,20335.24560774471,0,0,29825026.89135891,0,0,0,0
11,115,1357.811171094922,74,12,4,719824.0437278842,14912.51344567945,0,0,29825026.89135891,0,0,0,0
12,121,6828.818594689708,33,13,4,41769.28687008999,2711.366081032628,0,2033.524560774471,0,0,135.5683040516314,12472.28397275009,17895.01613481535
12,122,6653.3971327489,33,13,4,36200.04862074465,2711.366081032628,0,1626.819648619577,0,0,135.5683040516314,12472.28397275009,17895.01613481535
12,123,6855.758544471697,33,13,4,65438.54942980766,2711.366081032628,0,1491.251344567946,0,0,135.5683040516314,12472.28397275009,17895.01613481535
12,124,6825.759083011842,33,13,4,57084.69205578965,2711.366081032628,0,3389.207601290785,0,0,135.5683040516314,12336.71566869846,17759.44783076371
12,125,6806.570398262294,33,13,4,36200.04862074465,2711.366081032628,0,3389.207601290785,0,0,135.5683040516314,12472.28397275009,17895.01613481535
13,131,27.76881838763088,72,13,4,2627288.14412866,27158127.21405522,0,18694869.12871997,9489781.283614198,14776945.14162782,0,0,0
13,132,28.446810801806,72,13,4,2777657.576860984,27150264.25242022,0,21013087.12800287,4744890.641807099,12878988.88490498,0,0,0
13,133,28.16981916332911,72,13,4,2669057.43099875,27158398.35066332,0,18708425.95912514,596500.5378271783,14885399.78486913,0,0,0
13,134,27.36970347254667,72,13,4,1448001.944829786,27153246.75510936,0,21013087.12800287,2711366.081032628,14654933.66798135,0,0,0
13,135,27.53974791481673,72,13,4,2574380.380759879,27153789.02832557,0,18694869.12871997,5422732.162065256,14438024.38149874,0,0,0
14,141,11989.64560264092,74,8,2,33415.42949607199,0,0,0,0,0,1694.603800645393,0,0
14,142,11178.24606259205,74,8,2,33415.42949607199,0,0,0,0,0,1708.160631050556,0,0
14,143,12556.70070446151,74,8,2,33415.42949607199,0,0,0,0,0,1708.160631050556,0,0
14,144,12109.01606431599,74,8,2,33415.42949607199,0,0,0,0,0,1694.603800645393,0,0
14,145,12031.24008956208,74,8,2,33415.42949607199,0,0,0,0,0,1708.160631050556,0,0
15,151,5334.56671973124,27,9,3,32023.11993373566,0,0,0,0,0,0,0,0
15,152,5317.338730317226,27,9,3,32023.11993373566,0,0,0,0,0,0,0,0
15,153,5303.617780957121,27,9,3,32023.11993373566,0,0,0,0,0,0,0,0
15,154,5353.978291120239,27,9,3,32023.11993373566,0,0,0,0,0,0,0,0
15,155,5298.811431123488,27,9,3,32023.11993373566,0,0,0,0,0,0,0,0
16,161,5766.738061178858,51,9,3,93284.74067653432,34434.34922911438,0,291471.8537110075,0,0,9055.962710648979,27927.07063463607,27927.07063463607
16,162,6418.867840084944,51,9,3,93284.74067653432,34434.34922911438,0,291471.8537110075,0,0,9055.962710648979,26571.38759411975,26571.38759411975
16,163,5690.146570415371,51,9,3,93284.74067653432,34434.34922911438,0,291471.8537110075,0,0,8920.394406597346,26571.38759411975,26571.38759411975
16,164,5704.39778155993,51,9,3,93284.74067653432,34434.34922911438,0,291471.8537110075,0,0,9055.962710648979,26571.38759411975,26571.38759411975
16,165,5964.281386653506,51,9,3,91892.43111419797,34434.34922911438,0,291471.8537110075,0,0,8920.394406597346,26571.38759411975,26571.38759411975
17,171,5014.957154040172,30,12,4,75184.71636616199,1626.819648619577,0,0,0,0,1572.592326998924,36603.44209394048,36603.44209394048
17,172,4981.685040199086,30,12,4,75184.71636616199,1626.819648619577,0,0,0,0,1572.592326998924,36603.44209394048,36603.44209394048
17,173,5018.92313376249,30,12,4,75184.71636616199,1626.819648619577,0,0,0,0,1572.592326998924,36603.44209394048,36603.44209394048
17,174,5015.854787606576,30,12,4,75184.71636616199,1626.819648619577,0,0,0,0,1572.592326998924,35247.75905342417,35247.75905342417
17,175,5008.979139112998,30,12,4,75184.71636616199,1626.819648619577,0,0,0,0,1572.592326998924,36603.44209394048,36603.44209394048
18,181,6351.980854011342,74,8,2,34807.73905840833,813.4098243097884,47448.90641807099,0,0,0,6778.41520258157,0,0
18,182,6040.97466641296,74,8,2,34807.73905840833,813.4098243097884,47448.90641807099,0,0,0,6778.41520258157,0,0
18,183,6644.339894773293,74,8,2,34807.73905840833,813.4098243097884,47448.90641807099,0,0,0,6778.41520258157,0,0
18,184,6443.557449503713,74,8,2,34807.73905840833,813.4098243097884,47448.90641807099,0,0,0,6778.41520258157,0,0
18,185,6474.554194630468,74,8,2,34807.73905840833,813.4098243097884,47448.90641807099,0,0,0,6778.41520258157,0,0
19,191,309.3043378521701,75,13,4,1047016.790876923,4067.049121548942,0,0,948978.1283614199,0,44737.54033703836,0,0
19,192,306.9329149080271,75,13,4,1392309.562336333,4067.049121548942,0,0,948978.1283614199,0,30909.57332377196,0,0
19,193,317.5809256661627,75,13,4,1517617.422946603,4067.049121548942,0,0,948978.1283614199,0,93542.12979562567,0,0
19,194,304.08709309169,75,13,4,1074862.982123649,4067.049121548942,0,0,948978.1283614199,0,92186.44675510935,0,0
19,195,307.3572530647656,75,13,4,1141693.841115793,4067.049121548942,0,0,948978.1283614199,0,27113.66081032628,0,0
20,201,6071.974321004695,40,13,4,55692.38249345332,408.0605951954105,0,0,74562.56722839728,0,677.8415202581571,0,0
20,202,5588.345643789868,40,13,4,57084.69205578965,408.0605951954105,0,0,74562.56722839728,0,677.8415202581571,0,0
20,203,6046.411150845551,40,13,4,58477.00161812599,408.0605951954105,0,0,74562.56722839728,0,677.8415202581571,0,0
20,204,4961.625983310526,40,13,4,66830.85899214399,408.0605951954105,0,0,74562.56722839728,0,677.8415202581571,0,0
20,205,5910.488793915209,40,13,4,66830.85899214399,408.0605951954105,0,0,74562.56722839728,0,677.8415202581571,0,0
21,211,12749.07951668348,77,9,3,66830.85899214399,135.5683040516314,0,0,0,0,650.7278594478307,0,0
21,212,11757.8334867818,77,9,3,66830.85899214399,135.5683040516314,0,0,0,0,650.7278594478307,0,0
21,213,12751.99194287596,77,9,3,66830.85899214399,135.5683040516314,0,0,0,0,650.7278594478307,0,0
21,214,12491.32178985781,77,9,3,66830.85899214399,135.5683040516314,0,0,0,0,650.7278594478307,0,0
21,215,12355.56727619692,77,9,3,66830.85899214399,135.5683040516314,0,0,0,0,650.7278594478307,0,0
22,221,7718.78719628742,51,12,4,76577.02592849832,5924.334887056292,0,0,0,0,948.9781283614199,11387.73754033704,14370.24022947293
22,222,7295.376496564471,51,13,4,76577.02592849832,5965.005378271782,0,0,0,0,948.9781283614199,11387.73754033704,14370.24022947293
22,223,7727.35123896398,51,6,2,76577.02592849832,5829.437074220151,0,0,0,0,948.9781283614199,11387.73754033704,14370.24022947293
22,224,7750.636448179239,51,11,3,76577.02592849832,5897.221226245966,0,0,0,0,948.9781283614199,11387.73754033704,14370.24022947293
22,225,7525.638492555368,51,11,3,76577.02592849832,6087.016851918251,0,0,0,0,948.9781283614199,11387.73754033704,14370.24022947293
23,231,18.87580389161404,62,12,4,5443930.388735062,234533.1660093223,0,380946.9343850843,813409.8243097884,0,0,0,0
23,232,19.12902112287269,62,12,4,4942698.946293983,225043.3847257081,0,366034.4209394048,4311072.068841879,0,0,0,0
23,233,19.89727633648682,62,12,4,6140085.169903228,235888.8490498386,0,474489.0641807099,1355683.040516314,0,0,0,0
23,234,18.27932965168034,62,12,4,5012314.424410799,219620.6525636429,0,406704.9121548942,216909.2864826102,0,0,0,0
23,235,19.50420320862833,62,12,4,6237546.839266771,215553.6034420939,0,406704.9121548942,1355683.040516314,0,0,0,0
24,241,4822.194294787359,45,5,1,22276.95299738133,13.55683040516314,0,0,0,0,406.7049121548942,0,0
24,242,4731.817329392728,45,5,1,29238.50080906299,13.55683040516314,0,0,0,0,406.7049121548942,0,0
24,243,4861.906461447155,45,5,1,22276.95299738133,27.11366081032628,0,0,0,0,406.7049121548942,0,0
24,244,4829.178102191218,45,5,1,16707.714748036,27.11366081032628,0,0,0,0,406.7049121548942,0,0
24,245,4774.923679698839,45,5,1,13644.63371089606,27.11366081032628,0,0,0,0,406.7049121548942,0,0
25,251,21.76517774528393,43,13,4,608439.2787409775,43192.06167084977,0,1355683.040516314,0,0,0,0,0
25,252,22.80218247899165,43,13,4,608439.2787409775,42975.15238436716,0,1355683.040516314,0,0,0,0,0
25,253,22.81973325994671,43,13,4,608439.2787409775,41917.71961276443,0,1355683.040516314,0,0,0,0,0
25,254,21.16677224557253,43,13,4,608439.2787409775,42080.40157762639,0,1355683.040516314,0,0,0,0,0
25,255,21.96905324018944,43,13,4,608439.2787409775,42568.44747221226,0,1355683.040516314,0,0,0,0,0
26,261,4764.124348780924,59,8,2,69615.47811681665,48804.58945858731,2033.524560774471,23046.61168877734,7862.961634994622,0,0,14912.51344567945,14912.51344567945
26,262,4320.27980485557,59,8,2,51515.45380644433,48804.58945858731,2033.524560774471,24402.29472929366,7998.529939046253,0,0,13556.83040516314,13556.83040516314
26,263,4925.424101529628,59,8,2,68223.16855448032,48804.58945858731,2033.524560774471,23046.61168877734,7998.529939046253,0,0,14912.51344567945,14912.51344567945
26,264,4687.027146121335,59,8,2,58477.00161812599,48804.58945858731,2033.524560774471,24402.29472929366,7862.961634994622,0,0,13556.83040516314,13556.83040516314
26,265,4695.084572079586,59,8,2,57084.69205578965,48804.58945858731,2033.524560774471,23046.61168877734,7862.961634994622,0,0,13556.83040516314,13556.83040516314
27,271,4659.823643627486,50,4,1,15315.40518569966,271.1366081032628,0,0,0,0,8134.098243097885,29825.02689135891,33349.80279670133
