time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error	MrkvState
0.0	0.0019956406995669043	0.003992197468365863	0.01924166865501222	2.0458918415939378	0.9955793060550246	0.02863016412840221	0.05519708835829712	0.027324197300658708	0.0023171793447627907	7.0
1.0	-0.019426709502250963	-0.012103134381235371	-0.030810602992954593	2.053954563744529	0.9983145386213296	0.018542441452927487	0.01826412440067853	0.01916988621726736	-0.005006395776252803	6.0
2.0	0.0029215621019134594	-0.0020576738044434037	0.003032189791359316	2.0598579480385584	0.9999951060739193	0.0065711644804839	0.004944726131739442	0.017834583443944143	-2.7159869895940954e-05	6.0
3.0	0.005120538427669699	0.0030805319113753962	0.008214388440316786	2.071926652807031	0.9983145386213296	0.012218553732816634	0.01269439295207836	0.012004711002735764	0.002012846646398367	6.0
4.0	-0.00871295926266518	-0.004367362112642506	-0.014912043244379464	2.0829646271124926	0.9983145386213296	0.01236537833732117	0.004407178130480992	0.007389823302001473	-0.00233275050362431	5.0
5.0	0.005112297797610063	0.0019194102227423973	0.012723437412910345	2.087567626457294	1.0016785742323322	-0.0028615756588082006	-0.00941995316607986	-0.004941009630384102	0.0008601370712433549	6.0
6.0	0.010543819562016707	0.011052308659960236	0.010471075814194493	2.1061387831140923	0.9955793060550246	0.0034647014639157814	0.019927289878874405	0.00508775299380404	0.00035164797329982937	6.0
7.0	-0.012208871990349479	-0.011871126306192407	-0.02706089256020137	2.1054773574474575	0.9955793060550246	-0.010354848342069796	-0.019100778683742266	-0.00025538267936563164	1.3902289142752234e-05	5.0
8.0	-0.011180432082912833	-0.010600904330058562	-0.0003351809923915483	2.1223396328659048	1.0016785742323322	-0.02494795014049422	-0.03867762833114603	-0.03304598980851984	-0.0005656254637115178	4.0
9.0	0.004036342429840523	0.002067908580847263	0.010838702513161203	2.13867871661922	1.0044324750173943	-0.010776907178411586	0.00297167717496976	-0.011984126948151687	0.0014028083852817396	5.0
10.0	0.007460069245571861	0.004965582374943246	0.0019716247769806378	2.1634437434740517	0.9999951060739193	-0.0037536509990249364	0.0019111121605910816	-0.011793077589246685	0.0038972952559103552	5.0
11.0	-0.012200132825640517	-0.005176462661335982	-0.01385578716829415	2.1860617776291518	0.9999951060739193	-0.012010645571736315	-0.020159063448019855	-0.01686203736604117	-0.003126374908394179	4.0
12.0	-0.0031977294846047485	-0.009655245863025387	0.001577514205337735	2.228823076284559	0.9983145386213296	-0.017298529322119196	-0.003669505998302656	-0.019206890885750116	0.0033311414700264623	4.0
13.0	-0.0018740434980095734	0.0007164400831688802	-0.004732669430959794	2.2509574348352124	0.9955793060550246	-0.018501499461692713	-0.021125612842172795	-0.019901960415220632	0.0007406578888480068	4.0
14.0	-0.009684823737559587	-0.010386209748988424	-0.010918451685511591	2.292435624868338	0.9955793060550246	-0.03994001787064137	-0.04251514034187888	-0.034169327895075756	0.001442043900276845	3.0
15.0	-0.00748870821629054	-0.002364588842340344	0.011375238595079603	2.3527755760225832	0.9999951060739193	-0.03043348040678931	-0.004079009186597905	-0.03796489623821487	-0.0036820754736733513	3.0
16.0	0.0046221036461187815	0.0005022459998039585	-0.009753694716537215	2.3879665325852897	0.9983145386213296	-0.01933033007692679	-0.013497522910743572	-0.0044637066335209835	0.0004377821726414725	3.0
17.0	0.0020688348864951692	-0.002302609271170374	-0.0009999502344596135	2.4352821860857268	1.0044324750173943	-0.023700847928944425	-0.02533617565836439	-0.02137030737589038	0.004809226330307016	2.0
18.0	-0.022962575407034162	-0.014655271169683941	-0.021110650812289286	2.462668754804436	1.0016785742323322	-0.04332170147357162	-0.04841845124763432	-0.04167600096448369	-0.003498077907043207	2.0
19.0	-0.004671560666191876	-0.0017626962674751352	0.006979575098325605	2.504295679750941	0.9955793060550246	-0.03990793507971077	-0.02758308898101456	-0.0397863551066933	-0.0064069423057599465	3.0
20.0	0.0002643863967316355	-0.0004948206632295945	-0.01573852240733322	2.52123927323444	0.9955793060550246	-0.030747509879914973	-0.044899125593685515	-0.028105408978915093	-0.0056477352457987165	2.0
21.0	0.00035715356193742956	-0.006152528295389002	0.00308136479803673	2.5485477095102556	0.9955793060550246	-0.037616478258472856	-0.03708509136468899	-0.02783638050175076	0.0008619466115277153	2.0
22.0	0.006548170485502032	-0.00031609496072834524	-0.008285228339387708	2.556180422048647	1.0016785742323322	-0.02754636347021278	-0.034451868018565104	-0.03175325534170438	0.007726212057758091	2.0
23.0	0.0033892754320987775	0.007475237663583307	0.020345262691798684	2.58224612005303	1.0044324750173943	-0.01770653696428913	-0.025481843921846024	-0.013281282781553706	0.0036402498262735616	3.0
24.0	0.009256166196178552	0.007477878943925398	-0.0033348151909974554	2.5913678044276334	0.9983145386213296	-0.010730904020167688	-0.019062964396306264	-0.020768141486406922	0.005418537078526715	4.0
25.0	0.005369542291354141	0.010466880895990183	0.008632371299795416	2.5775391544809354	0.9999951060739193	0.0020385861469928686	-0.009430642862051235	-0.003958823775584597	0.000321198473890674	5.0
26.0	0.008107008345766583	0.0038993328487999523	-0.0029175520587947984	2.565283287401227	1.0044324750173943	0.02059319016547676	0.008762455891443255	0.018884395991760852	0.0045288739708573035	5.0
27.0	-0.008503722832783313	-0.003096128450003644	-0.005956309054516458	2.568397652762775	1.0044324750173943	0.019259757982948253	-0.004173428261398809	0.019432414280427066	-0.0008787204119223646	4.0
28.0	-0.00024970013989599263	-0.0031149238912656406	0.004194924468388032	2.5484072210330537	1.0016785742323322	0.01663965475491221	0.01576001861432244	0.022960969270127744	0.0019865033394472825	5.0
29.0	-0.000916870848530248	0.0019356188965924193	-0.009944326753785189	2.5394806813338744	0.9983145386213296	0.02472780194689363	0.002734327062500524	0.02472269980678524	-0.0008659864056753852	4.0
30.0	-0.012452416575533273	-0.011538891004853176	0.004395981661452485	2.5523285601816617	0.9983145386213296	0.0135050059027688	0.015415537063340716	0.014000954719049812	-0.0017795119763554814	4.0
31.0	-0.004937787826318396	-0.007147214469286671	-0.004179386013234311	2.595954691624974	1.0016785742323322	-0.0011174462301011788	-0.009109111641692279	0.0007564446961012307	0.0004299146666127921	3.0
32.0	-0.00524171854477503	-0.0032693197822312586	-0.00598609129695438	2.5911830184424676	1.0044324750173943	-0.011864644956257836	-0.011760387747649204	-0.008232530604506263	-0.0015424840959309784	4.0
33.0	0.02335367736563465	0.017572334160633595	0.011062785233523435	2.5655357793782154	0.9999951060739193	-0.004759191691614423	-0.009329973813921184	-0.006758936051398166	0.004238859109070077	5.0
34.0	0.003821245928903424	0.007428350493568723	0.007983513944926593	2.551278097526303	1.0016785742323322	-0.001230174046845653	0.0015710921898002082	0.0026290887379467297	0.0006317545444047774	5.0
35.0	-0.002124636296451741	-0.0027893805329961257	-0.003884008710740597	2.5514492511639464	0.9983145386213296	-0.0009234261298381348	0.0036433925335760693	0.005624443959897921	0.0012964987809491633	5.0
36.0	-0.0064623577045518875	-0.004072083340059828	-0.006268211212060348	2.546047524403711	0.9983145386213296	-0.0018805855786323223	-0.006819743146872311	-0.010183807945267603	-0.0010937755835428965	5.0
37.0	0.00046644615747799996	-0.004697729481217534	-0.009656306875164639	2.528017182788149	1.0016785742323322	-0.008513933956442276	-0.006531723268251761	-0.014761011764723417	0.004070400055152638	5.0
38.0	-0.015257146108519182	-0.008815496971901461	-0.005114625981184232	2.5332087618850103	1.0016785742323322	-0.005790539923490561	-0.016042330910888476	-0.007092159299574784	-0.0023712490814650827	4.0
39.0	-0.0069736603035595035	-0.011483760054512012	-0.00048724781496925496	2.5479251509117433	1.0016785742323322	-0.010127085508715902	-0.012350192712623421	-0.009637635754457164	0.0021388506694874263	4.0
40.0	-0.008883809299368758	-0.005608292897205304	-0.013767188175384887	2.5649770328029344	0.9999951060739193	-0.012466058623689947	-0.020131289591053928	-0.016471882523546443	-0.0011366657326760288	3.0
41.0	-0.015454007496620365	-0.013547335378000333	-0.0021034314801458565	2.601339051242111	0.9955793060550246	-0.043585728162323874	-0.03329750630472322	-0.0365380134523934	-0.0030433378512960637	3.0
42.0	0.0017968019757135523	0.0003386946878385505	-0.01428549595889933	2.5836532855778165	1.0016785742323322	-0.050675383968054044	-0.055566516208549147	-0.051017144821004445	-0.0015852305634210632	3.0
43.0	0.0003914376887339255	0.0014127173717731409	0.01778250927022322	2.607157269875392	0.9955793060550246	-0.04647328606328478	-0.033899998227585326	-0.04774365429122601	-0.002606510246460272	3.0
44.0	-0.009124055932898258	-0.011041522333893425	-0.025837073671285078	2.6259093426297953	0.9955793060550246	-0.053442725057118376	-0.05346886068681006	-0.05336997972313969	-0.0006890438454651088	2.0
45.0	-0.011828724974159585	-0.011419108295153232	-0.001734894520796365	2.6501335039581693	0.9983145386213296	-0.06016410387105408	-0.04554744833244179	-0.059399305289924896	-0.0010986605244714615	2.0
46.0	0.0008481114993261415	-0.0012618379828408799	-0.0019839256005287353	2.663929954432059	0.9983145386213296	-0.0526104448819935	-0.042416747951786286	-0.0574327199146566	0.0010112889576955621	2.0
47.0	0.0038218291336029053	0.003002279859450105	-0.00026653293884343343	2.654925612405308	0.9983145386213296	-0.03812440496803138	-0.042196033075660465	-0.04112629374690267	0.001830838231848361	3.0
48.0	-0.0035242037665007414	-0.0012157907862935802	-0.006066201815844538	2.653379785062655	1.0044324750173943	-0.033731902857119654	-0.034495046716120116	-0.030282219336705635	-0.00047757474835879803	3.0
49.0	0.008272837632433229	0.007879184421737517	0.011715342230452022	2.637547655887043	0.9983145386213296	-0.012305383057381804	-0.020676273005522237	-0.013526746201740311	-8.39215376630865e-05	4.0
50.0	-0.0008116489578596162	-0.0018321045496776378	-0.0144226774614417	2.618487931612533	0.9955793060550246	-0.014476182294897992	-0.020813454508064606	-0.01659887891381892	0.0009365340541549351	4.0
51.0	-0.014547537822100096	-0.011862040527673742	-0.002087634376110842	2.6383408997613413	0.9999951060739193	-0.027750940194344875	-0.04068359815439867	-0.03259713754200528	-0.001748963240271419	3.0
52.0	-0.006028037797479166	-0.01007111819999608	-0.0066733679035698296	2.6477246753279786	0.9983145386213296	-0.02678053606044753	-0.02151989238668342	-0.025075141897072717	0.0022941171622454866	3.0
53.0	-0.004994628450936636	-0.0054289373116564316	0.002040026683530427	2.685149982291958	0.9955793060550246	-0.02079036507695073	-0.017744971182356628	-0.022310140111837844	0.002728426022965293	3.0
