time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error	MrkvState
0.0	0.0016465998705978285	0.003293121807723176	0.019241668655012437	2.0665823427789634	0.9955793060550246	0.022464815774952185	0.05519708835829734	0.02138781006960918	0.001910933204118599	7.0
1.0	-0.01468990354776243	-0.008650292111023063	-0.030810602992954808	2.0584381084658716	0.9983145386213296	0.013901047109864763	0.018264124400678535	0.014418488729840091	-0.004128678232620768	6.0
2.0	0.003627030272810791	-0.00047924973788511516	0.003032189791359101	2.0437497981545794	0.9999951060739193	0.006931201543280217	0.004944726131739012	0.016219926362022574	-2.2398221924858296e-05	6.0
3.0	0.0003742292394227492	-0.0013081248681330385	0.008214388440316793	2.046340218957355	0.9983145386213296	0.004746682851048616	0.012694392952078151	0.004570330867636328	0.0016599558856309265	6.0
4.0	-0.004860203299806055	-0.0012764729750600542	-0.014912043244379256	2.0394881888227543	0.9983145386213296	0.006967059501107056	0.004407178130480992	0.002863815033905384	-0.0019237744391150762	5.0
5.0	0.001406194335423494	-0.0012269185902645807	0.01272343741291056	2.0346980493109514	1.0016785742323322	-0.003700210885420503	-0.009419953166079645	-0.005415080056439883	0.0007093384865729991	6.0
6.0	0.004391949294936526	0.004811290466516009	0.010471075814194278	2.059408297924988	0.9955793060550246	-0.0005187704433215964	0.01992728987887419	0.0008197289125737375	0.0002899973149935205	6.0
7.0	-0.007401897036774942	-0.007123364672043553	-0.027060892560201374	2.0523563628791393	0.9955793060550246	-0.011960010680170219	-0.01910077868374227	-0.00363117574456763	1.1464950262131016e-05	5.0
8.0	-0.006246342288873108	-0.005768416905954234	-0.0003351809923915483	2.050594212773398	1.0016785742323322	-0.02102154939384763	-0.038677628331146255	-0.027699846835465752	-0.00046646043265674277	4.0
9.0	0.0010314177650042472	-0.0005919117414726338	0.010838702513161207	2.0556100748922312	1.0044324750173943	-0.0129631690242972	0.00297167717496976	-0.013958739931606894	0.0011568690738201332	5.0
10.0	0.00017198706895033694	-0.0018851682389009333	0.0019716247769804227	2.0857323764580005	0.9999951060739193	-0.014369087525313018	0.0019111121605910816	-0.020999047889861927	0.003214024381671409	5.0
11.0	-0.006449809459692927	-0.0006575238681257173	-0.013855787168293936	2.1015801584728413	0.9999951060739193	-0.013718486525305697	-0.020159063448019647	-0.01771933595756002	-0.002578261209895804	4.0
12.0	0.00024110346299459698	-0.005084285998789562	0.0015775142053377315	2.1261176166116815	0.9983145386213296	-0.017526299549035205	-0.0036695059983026593	-0.019100088598056494	0.0027471282518883545	4.0
13.0	-0.00479728206903696	-0.002660960121758111	-0.004732669430959794	2.138624526809637	0.9955793060550246	-0.018960341080528735	-0.021125612842173014	-0.020115274272565306	0.0006108063046095069	4.0
14.0	-0.007972300076558178	-0.008550719619772638	-0.010918451685511593	2.164612244025615	0.9955793060550246	-0.03232235116681738	-0.042515140341878886	-0.027563374219302966	0.0011892258478239665	3.0
15.0	-0.004889044706971947	-0.0006632820892962625	0.011375238595079605	2.205661708469205	0.9999951060739193	-0.02586226858407009	-0.004079009186597905	-0.032073282254127165	-0.003036536769851718	3.0
16.0	0.0004252915339921573	-0.0029722757671227385	-0.009753694716537217	2.230086821623303	0.9983145386213296	-0.023066127445238595	-0.013497522910743574	-0.010805909247047999	0.000361030531263177	3.0
17.0	0.000166874002118721	-0.0034381718523222495	-0.0009999502344596135	2.2687935737016254	1.0044324750173943	-0.025912387556088212	-0.025336175658364393	-0.02399043562067088	0.003966076385704149	2.0
18.0	-0.01910228775112965	-0.012251413847153622	-0.021110650812289293	2.28162912975319	1.0016785742323322	-0.0362786331643409	-0.04841845124763411	-0.03492145563125145	-0.0028847975182718795	2.0
19.0	-0.008905312951642137	-0.006506428472393796	0.006979575098325494	2.321125309054218	0.9955793060550246	-0.04212753776860898	-0.027583088981014678	-0.04202727310505584	-0.005283681997520221	3.0
20.0	-0.005156732978653588	-0.005782836427642209	-0.015738522407333227	2.3484053588045994	0.9955793060550246	-0.04282608819746163	-0.04489912559368564	-0.04064719844006601	-0.0046575785485316	2.0
21.0	0.0027995061533894958	-0.002568903174757239	0.0030813647980369625	2.3780422172320868	0.9955793060550246	-0.042734031250460755	-0.03708509136468888	-0.034668572879667583	0.0007108307796151367	2.0
